// 3/11/2025 10:45:42 AM
// ReaderName=speedwayr-12-05-fd.local, AntennaIDs=1,2,3,4, InventoryMode=DualTarget, ModeIndex=1002, Population=32, PowerInDbm=30, Session=1
// Timestamp, EPC, TID, Antenna, RSSI, Frequency, Hostname, PhaseAngle, DopplerFrequency, CRHandle
2025-03-11T10:47:54.9215170-06:00,E280116060000209FF238D54,,1,-24,919.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:54.9223530-06:00,E280116060000209FF2351F4,,1,-35.5,919.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:54.9236730-06:00,E280116060000209FF238D64,,1,-34.5,919.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:54.9249750-06:00,E280116060000209FF238D74,,1,-35,919.25,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.0049170-06:00,E280116060000209FF238D54,,1,-27,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.0056980-06:00,E280116060000209FF2351F4,,1,-41.5,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.0062340-06:00,E280116060000209FF238D74,,1,-42,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.0069010-06:00,E280116060000209FF238D64,,1,-39.5,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1132850-06:00,E280116060000209FF238D74,,1,-41.5,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1140030-06:00,E280116060000209FF2351F4,,1,-41,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1146650-06:00,E280116060000209FF238D54,,1,-27,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1158390-06:00,E280116060000209FF238D64,,1,-39.5,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1891150-06:00,E280116060000209FF238D54,,1,-27,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1899360-06:00,E280116060000209FF238D74,,1,-41.5,904.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1979630-06:00,E280116060000209FF238D64,,1,-33.5,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.1989600-06:00,E280116060000209FF2351F4,,1,-34,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3030680-06:00,E280116060000209FF2351F4,,1,-34,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3038830-06:00,E280116060000209FF238D54,,1,-23.5,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3047170-06:00,E280116060000209FF238D64,,1,-33.5,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3055070-06:00,E280116060000209FF238D74,,1,-34,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3785030-06:00,E280116060000209FF238D54,,1,-23.5,920.75,speedwayr-12-05-fd.local,,,
2025-03-11T10:47:55.3791690-06:00,E280116060000209FF2351F4,,1,-34,920.75,speedwayr-12-05-fd.local,,,
